Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan,
8992775709047,GOOD MOOD ORANGE MADU 500ML,Pcs,1,IDR,5.000.00,
8992775709061,GOOD MOOD LEMON MADU 500ML,Pcs,2,IDR,10.000.00,
8992775916018,CLEVO SMOOTHY 200ML,Pcs,1,IDR,4.500.00,
8992982201501,NESTLE PURE LIFE1500ML,Pcs,8,IDR,36.000.00,
8992982203307,NESTLE PURE LIFE 330ML,Pcs,19,IDR,38.000.00,
8992982206001,NESTLE PURE LIFE 600ML,Pcs,95,IDR,285.000.00,
8993190912463,AMIDIS 330ML,Pcs,1,IDR,2.000.00,
8993539106003,RON 88 600 ML,Pcs,51,IDR,127.000.00,
8994947000051,KIYORA MILK TEA,Pcs,4,IDR,26.000.00,
8994947000112,KIYORA MATCHA LATTE,Pcs,5,IDR,37.500.00,
8994985002109,POKKA NATSBEE LEMON 450ML,Pcs,1,IDR,6.000.00,
8995227500124,LARUTAN CAP KAKI TIGA ORI 200ML,Pcs,1,IDR,3.000.00,
8995227500261,LARUTAN CAP KAKI TIGA ORI 500ML,Pcs,3,IDR,19.500.00,
8996001600146,TEH PUCUK HARUM 350 ml,Pcs,8,IDR,24.000.00,
8996001600207,TEH PUCUK 480 ML,Pcs,2,IDR,11.000.00,
8996001600221,KOPIKO 78c 250ml,Pcs,5,IDR,30.000.00,
8996001600269,LE-MINERALE 600ML,Pcs,18,IDR,54.000.00,
8996001600306,KOPIKO MOCHARETA 240ML,Pcs,6,IDR,36.000.00,
8996001600313,KOPIKO 78 CARAMEL FRSPPE,Pcs,7,IDR,42.000.00,
8996001600375,LE-MINERALE 330ML,Pcs,11,IDR,22.000.00,
8996001600399,LE-MINERALE 1500ML,Pcs,3,IDR,13.500.00,
8996006320117,TEH BOTOL KOTAK 200 ML,Pcs,2,IDR,6.000.00,
8996006852045,SOSRO PRIM-A 600 ML,Pcs,21,IDR,52.500.00,
8996006853394,FRUIT TEA PET STRAW500 ML,Pcs,1,IDR,6.000.00,
8996006853400,FRUIT TEA PET BLCK CUR500,Pcs,1,IDR,6.000.00,
