Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
089686910308,INDOMIE EMPAL GENTONG 75G,Pcs,1.00,IDR,2.500.00
8993118731046,BIHUNKU AYAM BAWANG,Pcs,2.00,IDR,3.800.00
8993118937851,BIHUNKU RS WHITE CURRY,Pcs,2.00,IDR,4.400.00
8998866200318,MIE SEDAP AYAM BAWANG 70,Pcs,1.00,IDR,2.000.00
8998866200837,MIE SEDAP CUP SOTO77GR,Pcs,4.00,IDR,20.000.00
8998866200844,MIE SEDAP CUP KARI AYAM SPC 72GR,Pcs,8.00,IDR,40.000.00
8998866200851,MIE SEEDAP CUP BASO72GRAM,Pcs,1.00,IDR,5.000.00
"",Total MIE INSTANT :,,,IDR,473.800.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8850389108055,MOGU MOGU STRW 320ML,Pcs,2.00,IDR,15.000.00
8850389108062,MOGU MOGU LECI 320ML,Pcs,1.00,IDR,7.500.00
8850389108277,MOGU MOGU KELAPA 320ML,Pcs,2.00,IDR,15.000.00
8850389108314,MOGU MOGU GRAPE 320ML,Pcs,1.00,IDR,7.500.00
8886008101053,AQUA AQUA 24 X 600 ML,Pcs,119.00,IDR,357.000.00
8886008101091,AQUA AQUA 12 X1500 ML,Pcs,4.00,IDR,18.000.00
8886008101138,AQUA GALON REFILL,Pcs,3.00,IDR,49.000.00
8886008101336,AQUA AQUA 24 X 330ML,Pcs,29.00,IDR,58.000.00
8991002121010,GOOD DAY FUNTASTIC MOCACINO 250 ML,Pcs,3.00,IDR,18.000.00
8991002121065,GOOD DAY AVOCADO DELIGHT,Pcs,5.00,IDR,30.000.00
8991002121089,GOOD DAY ORIGINAL CAPUCINO 250ML,Pcs,3.00,IDR,18.000.00
8991102800020,KIRANTI SEHAT DTG BLN 150ML,Pcs,1.00,IDR,5.500.00
8992388101016,NU GRENTE ORG24X 500ML,Pcs,3.00,IDR,18.000.00
8992388101023,NU GRENTE MADU24X 500ML,Pcs,5.00,IDR,30.000.00
8992388101085,NU GRENTE ORG 24 X330M,Pcs,3.00,IDR,12.000.00
8992388133017,NU MILK TEA 330 ML,Pcs,5.00,IDR,30.000.00
8992388133345,NU TEH TARIKH 330ML,Pcs,3.00,IDR,18.000.00
8992388133604,NU OCEANA 330ML,Pcs,3.00,IDR,13.500.00
8992752111818,MIZONE ACTIVE 500ML,Pcs,1.00,IDR,4.000.00
8992752119104,MIZONE LYCEE LMN 500ML,Pcs,1.00,IDR,4.000.00
8992761002039,FANTA BOTOL STRWBRY 390ML,Pcs,2.00,IDR,9.000.00
8992761122324,FRESTEA GREEN MLTI 500M,Pcs,1.00,IDR,6.000.00
8992761122331,FRESTEA FRTCY APEL 500M,Pcs,5.00,IDR,30.000.00
8992761122430,FRESTEA GREEN MADU 500 ML,Pcs,2.00,IDR,12.000.00
8992761122485,AQUARIUS 250 ML,Pcs,1.00,IDR,5.000.00
8992761122515,FRESTEA JASMINE NON KALORI,Pcs,1.00,IDR,6.000.00
8992761139018,ISOTONIK ADES NATURAL 600 ML,Pcs,29.00,IDR,87.000.00
8992761145019,COCA COLA 250 ML,Pcs,4.00,IDR,14.000.00
8992761145026,SPRITE BOTOL 250 ML,Pcs,3.00,IDR,10.500.00
Kode Barang,Nama Barang,Unit,Terjual,Mata Uang,Nilai Penjualan
8992761145033,FANTA 250ML,Pcs,1.00,IDR,3.500.00
8992761145071,FANTA ORANGE 250ML,Pcs,1.00,IDR,3.500.00
8992761164560,NUTRIBOOST APEL 300ML,Pcs,1.00,IDR,6.000.00
8992761166038,PULPY ORANGE 350 ML,Pcs,1.00,IDR,7.000.00
8992761166052,FRESTEA JASMINE 350ML,Pcs,1.00,IDR,4.000.00
8992761166199,PULPY ALOE VERA 350 ML,Pcs,1.00,IDR,7.000.00
8992761166212,FRESTEA APEL 350,Pcs,1.00,IDR,4.000.00
8992761166229,FRESTEA MARKISA 350ML,Pcs,1.00,IDR,4.000.00
8992775709047,GOOD MOOD ORANGE MADU 500ML,Pcs,4.00,IDR,20.000.00
8992775709061,GOOD MOOD LEMON MADU 500ML,Pcs,4.00,IDR,20.000.00
8992775712603,MYTEA SUNTORY 450ML,Pcs,3.00,IDR,19.500.00
8992775712658,MYTEA MATCHA 450ML,Pcs,1.00,IDR,6.500.00
8992982201501,NESTLE PURE LIFE1500ML,Pcs,7.00,IDR,31.500.00
8992982203307,NESTLE PURE LIFE 330ML,Pcs,3.00,IDR,6.000.00
8992982206001,NESTLE PURE LIFE 600ML,Pcs,1.00,IDR,3.000.00
8993190912210,AMIDIS 600ML,Pcs,43.00,IDR,129.000.00
8993190912463,AMIDIS 330ML,Pcs,28.00,IDR,56.000.00
8993539121501,RON 88 1500 ml,Pcs,3.00,IDR,12.000.00
8994947000051,KIYORA MILK TEA,Pcs,1.00,IDR,6.500.00
8994985000013,POKKA TEH OLONG 450ML,Pcs,2.00,IDR,10.000.00
8995227500124,LARUTAN CAP KAKI TIGA ORI 200ML,Pcs,1.00,IDR,3.000.00
8995227502036,LARUTAN CAP KAKI TIGA ORANGE,Pcs,1.00,IDR,6.000.00
"",PET320ML,,,,
8996001600146,TEH PUCUK HARUM 350 ml,Pcs,6.00,IDR,18.000.00
8996001600221,KOPIKO 78c 250ml,Pcs,5.00,IDR,30.000.00
